"","Previous30Precip","Tmin..F.","Discharge_CFS","Stage","NinXTS","TOD","ACO_Numeric","DistFromSonoita","ecoli_235","ecoli_575"
"241",0.16,38,5.58,2,1,1,2,1700,0,0
"242",0.42,46,4.79,2,-0.3,1,2,1700,0,0
"243",4.9,68,8.33,2,0.5,1,2,1700,1,1
"244",2.96,63,1.61,1,-0.5,1,2,1700,1,1
"246",6.4,63,487,4,2.2,2,3,1700,1,1
"247",2.56,55,3.04,2,-0.8,1,2,1700,0,0
"248",0,31,2.77,2,-0.4,1,2,1700,0,0
"249",2.06,40,27.8,4,0.5,2,3,1700,1,0
"250",0.37,27,7.66,2,-0.7,1,2,1700,0,0
"251",2.15,72,2.88,2,-0.6,1,2,1700,1,0
"252",1.58,43,15.7,4,-1.6,1,2,1700,0,0
"253",2.93,67,3.13,2,-0.3,1,2,1700,1,1
"254",2.06,37,15.3,4,0.5,2,3,1700,0,0
"255",0,21,0.42,1,0,1,2,1700,0,0
"256",0.42,38,9.08,2,1.6,2,3,1700,0,0
"258",4.22,63,755,3,2.2,3,3,1700,1,1
"259",0.59,24,15.2,4,-1.4,1,2,1700,0,0
"261",3.54,62,22,4,0.2,1,2,1700,1,1
"262",0.13,44,7.16,2,-0.7,1,2,1700,0,0
"263",5.01,68,0.93,1,0,1,2,1700,1,1
"264",4.18,66,2.28,2,-0.4,1,2,1700,1,0
"265",3.23,68,36.2,4,-1,1,2,1700,1,1
"266",2.21,69,15.6,4,0.2,1,1,1700,1,1
"267",1.34,62,2.44,2,0.4,1,2,1700,1,0
"268",4.91,66,54.7,3,1.5,4,3,18000,1,1
"269",3.57,71,458,3,1.9,4,3,18000,1,1
"270",4.91,69,43.3,4,1.5,4,3,18000,1,1
"272",6.4,63,979,4,2.2,4,3,18000,1,1
"273",4.22,63,850,3,2.2,3,3,18000,1,1
"274",4.91,66,104,4,1.5,4,3,18000,1,1
"275",4.22,63,1250,3,2.2,4,3,18000,1,1
"277",6.4,63,245,4,2.2,3,3,18000,1,1
"278",4.91,66,0.65,1,1.5,4,3,18000,1,1
"279",3.62,66,666,3,1.9,4,3,18000,1,1
"281",5.73,66,12.6,2,1.5,2,3,18000,1,1
"283",1.29,65,29.2,3,1.2,4,3,18000,1,1
"284",2.17,54,29.2,3,1.5,4,3,18000,1,1
"285",3.62,66,211,4,1.9,4,3,18000,1,1
"286",5.29,61,9.47,2,2.4,2,3,18000,1,1
"287",0.42,33,10.7,2,2.1,2,3,18000,0,0
"288",6.4,63,190,4,2.2,4,3,18000,1,1
"290",4.79,71,1.41,1,1.5,3,3,18000,1,1
"291",3.62,66,608,4,1.9,4,3,18000,1,1
"293",6.4,63,1010,4,2.2,1,3,18000,1,1
"294",2.46,71,71.6,4,-0.4,4,3,18000,1,1
"295",4.22,63,1120,3,2.2,4,3,18000,1,1
"296",3.62,66,623,3,1.9,4,3,18000,1,1
"297",0.29,47,18.1,4,2.5,4,3,18000,0,0
"298",3.62,66,687,3,1.9,4,3,18000,1,1
"299",0.14,34,12,2,-0.6,1,3,18000,0,0
"300",3.62,66,170,4,1.9,4,3,18000,1,1
"301",6.4,63,1250,3,2.2,4,3,18000,1,1
"302",0.14,34,12,2,-0.6,1,3,18000,0,0
"303",2.46,71,66.4,3,-0.4,4,3,18000,1,1
"304",4.8,71,170,3,1.5,4,3,18000,1,1
"305",0.14,34,12.7,2,-0.6,4,3,18000,1,0
"306",2.17,54,0.71,1,1.5,2,3,18000,1,1
"307",0,39,13.1,2,1.6,4,3,18000,0,0
"309",2.46,71,56.6,4,-0.4,1,3,18000,1,1
"311",4.91,66,94.7,3,1.5,4,3,18000,1,1
"312",4.22,63,179,3,2.2,2,3,18000,1,1
"313",4.22,63,884,4,2.2,3,3,18000,1,1
"314",3.62,66,414,4,1.9,4,3,18000,1,1
"315",0.14,34,12,2,-0.6,1,3,18000,0,0
"316",6.08,59,69.5,4,2.2,1,3,18000,1,1
"318",4.91,66,106,3,1.5,4,3,18000,1,1
"319",0.9,55,7.31,2,0.5,3,3,18000,0,0
"320",5.73,66,285,3,1.5,4,3,18000,1,1
"321",3.57,71,549,3,1.9,4,3,18000,1,1
"323",3.62,66,699,3,1.9,4,3,18000,1,1
"324",0.14,32,4.92,2,-0.6,3,3,18000,0,0
"327",2.46,68,0.53,1,-0.4,2,3,18000,1,1
"329",2.17,54,0.71,1,1.5,2,3,18000,1,1
"330",2.17,54,0.71,1,1.5,3,3,18000,1,1
"331",5.73,66,60.4,4,1.5,1,3,18000,1,1
"332",2.46,71,72.7,3,-0.4,4,3,18000,1,1
"333",4.22,63,1010,3,2.2,3,3,18000,1,1
"334",4.91,69,57.5,4,1.5,4,3,18000,1,1
"335",3.62,66,101,4,1.9,4,3,18000,1,1
"336",4.22,63,31.2,3,2.2,2,3,18000,1,1
"337",4.95,72,27.9,4,1.5,1,3,18000,1,1
"338",5.73,66,272,4,1.5,4,3,18000,1,1
"340",4.22,63,1060,3,2.2,3,3,18000,1,1
"341",6.4,63,1150,4,2.2,4,3,18000,1,1
"342",0.14,34,9.84,2,-0.6,2,3,18000,0,0
"344",4.22,63,456,3,2.2,2,3,18000,1,1
"345",5.73,66,314,3,1.5,4,3,18000,1,1
"346",2.17,54,38.6,3,1.5,4,3,18000,1,1
"347",1.29,40,33.3,4,2.5,1,3,18000,1,1
"348",4.22,63,225,3,2.2,2,3,18000,1,1
"349",4.22,63,1240,3,2.2,4,3,18000,1,1
"350",2.06,40,28.4,4,0.5,2,3,18000,1,1
"351",4.8,71,0.48,1,1.5,3,3,18000,1,1
"352",4.22,63,148,3,2.2,2,3,18000,1,1
"354",3.62,66,86.2,4,1.9,4,3,18000,1,1
"356",0,39,8.32,2,1.6,2,3,18000,0,0
"357",6.08,59,49.3,4,2.2,2,3,18000,1,1
"358",4.22,63,51,3,2.2,2,3,18000,1,1
"360",0.14,34,12,2,-0.6,2,3,18000,0,0
"362",4.22,63,107,3,2.2,2,3,18000,1,1
"363",2.17,54,51,3,1.5,4,3,18000,1,1
"364",3.57,71,409,3,1.9,4,3,18000,1,1
"365",4.8,71,94.7,3,1.5,4,3,18000,1,1
"366",4.22,63,654,3,2.2,2,3,18000,1,1
"367",3.62,66,670,4,1.9,4,3,18000,1,1
"368",2.46,71,50.2,3,-0.4,4,3,18000,1,1
"369",4.22,63,1230,3,2.2,4,3,18000,1,1
"370",2.9,66,72.7,4,-0.5,1,3,18000,1,1
"371",4.91,66,98.4,4,1.5,4,3,18000,1,1
"372",2.46,70,62.4,4,-0.4,4,3,18000,1,1
"373",0.55,65,0.44,1,1.2,2,3,18000,0,0
"374",4.91,69,33.3,4,1.5,4,3,18000,1,1
"376",0,39,13.6,2,1.6,4,3,18000,0,0
"377",6.08,59,58.5,4,2.2,1,3,18000,1,1
"378",0.14,34,11.2,2,-0.6,2,3,18000,0,0
"379",3.62,66,266,4,1.9,4,3,18000,1,1
"380",0.42,37,10.3,2,2.1,3,3,18000,0,0
"381",6.08,59,81.6,4,2.2,1,3,18000,1,1
"382",1.29,40,193,4,2.5,4,3,18000,1,1
"383",0,39,13.1,2,1.6,1,3,18000,0,0
"384",1.29,40,26.6,4,2.5,2,3,18000,1,1
"387",5.73,66,97.2,4,1.5,4,3,18000,1,1
"388",1,51,9.87,2,0.5,1,3,18000,0,0
"389",6.4,63,215,4,2.2,3,3,18000,1,1
"390",0.14,34,13.6,2,-0.6,4,3,18000,1,0
"391",5.73,66,211,3,1.5,4,3,18000,1,1
"392",0,46,1.64,1,0.4,1,3,18000,0,0
"393",0,39,13.6,2,1.6,1,3,18000,0,0
"394",3.57,71,79.3,3,1.9,4,3,18000,1,1
"395",0.29,47,14,2,2.5,2,3,18000,0,0
"396",5.73,66,35.5,4,1.5,1,3,18000,1,1
"397",0.42,38,7.61,2,1.6,3,3,18000,0,0
"398",0.14,34,11.2,2,-0.6,1,3,18000,0,0
"399",6.4,63,328,4,2.2,2,3,18000,1,1
"400",2.17,54,28.5,3,1.5,4,3,18000,1,1
"401",3.4,65,0.53,1,1.5,2,3,18000,1,1
"402",4.91,66,74.9,3,1.5,4,3,18000,1,1
"403",2.46,71,116,3,-0.4,4,3,18000,1,1
"404",0.14,34,13.6,2,-0.6,4,3,18000,1,0
"405",0.14,46,9.84,2,-0.6,4,3,18000,0,0
"407",4.91,69,76,4,1.5,4,3,18000,1,1
"408",3.62,66,140,4,1.9,4,3,18000,1,1
"409",6.08,59,120,4,2.2,4,3,18000,1,1
"410",2.46,71,124,3,-0.4,4,3,18000,1,1
"411",6.4,63,955,3,2.2,1,3,18000,1,1
"413",6.4,63,154,4,2.2,4,3,18000,1,1
"414",0.14,46,8.05,2,-0.6,4,3,18000,0,0
"415",6.4,63,765,4,2.2,2,3,18000,1,1
"418",4.22,63,1230,4,2.2,4,3,18000,1,1
"420",1.29,40,48.4,4,2.5,1,3,18000,1,1
"421",5.73,66,350,3,1.5,4,3,18000,1,1
"423",3.26,66,4.43,2,1.5,2,3,18000,1,1
"426",3.62,66,22.9,4,1.9,1,3,18000,1,1
"431",4.22,63,725,3,2.2,3,3,18000,1,1
"432",2.17,54,27.2,4,1.5,4,3,18000,1,1
"435",0.14,46,12,2,-0.6,4,3,18000,0,0
"437",0.14,34,13.6,2,-0.6,4,3,18000,0,0
"439",0.14,46,6.55,2,-0.6,3,3,18000,0,0
"440",4.22,63,310,3,2.2,2,3,18000,1,1
"441",1.84,70,1.41,1,-0.4,2,3,18000,1,1
"442",0.55,28,10.7,2,2.6,3,3,18000,0,0
"444",4.22,63,955,3,2.2,3,3,18000,1,1
"445",3.62,66,520,4,1.9,4,3,18000,1,1
"448",4.91,69,3.35,2,1.5,2,3,18000,1,1
"449",5.73,66,153,4,1.5,4,3,18000,1,1
"450",6.4,63,620,4,2.2,2,3,18000,1,1
"451",6.4,63,276,4,2.2,3,3,18000,1,1
"453",2.46,70,60.4,3,-0.4,4,3,18000,1,1
"455",0,39,10.3,2,1.6,2,3,18000,0,0
"456",4.22,63,106,4,2.2,2,3,18000,1,1
"457",2.17,54,21.8,3,1.5,4,3,18000,1,1
"459",2.9,66,42.5,4,-0.5,1,3,18000,1,1
"460",6.4,63,992,4,2.2,1,3,18000,1,1
"461",6.4,63,931,4,2.2,1,3,18000,1,1
"462",4.8,71,124,3,1.5,4,3,18000,1,1
"463",4.22,63,1240,4,2.2,4,3,18000,1,1
"464",0.14,34,12,2,-0.6,1,3,18000,0,0
"465",2.46,68,54.7,4,-0.4,4,3,18000,1,1
"466",0.29,47,19.4,4,2.5,4,3,18000,1,1
"468",4.22,63,116,3,2.2,2,3,18000,1,1
"469",3.62,66,699,4,1.9,4,3,18000,1,1
"470",2.46,68,55.6,3,-0.4,4,3,18000,1,1
"471",1.29,40,298,4,2.5,4,3,18000,1,1
"473",5.73,66,251,3,1.5,4,3,18000,1,1
"475",3.62,66,328,4,1.9,4,3,18000,1,1
"476",0,39,7.27,2,1.6,2,3,18000,0,0
"478",3.57,71,517,3,1.9,4,3,18000,1,1
"480",4.22,63,785,3,2.2,3,3,18000,1,1
"481",0.42,38,12.1,2,1.6,4,3,18000,0,0
"482",2.46,70,62.4,3,-0.4,4,3,18000,1,1
"483",6.4,63,1270,4,2.2,4,3,18000,1,1
"490",5.73,66,43.3,4,1.5,1,3,18000,1,1
"491",0.02,74,0.71,1,-0.1,1,3,18000,0,0
"493",2.46,71,1.11,1,-0.4,2,3,18000,1,1
"494",4.22,63,549,3,2.2,2,3,18000,1,1
"495",0.42,38,13.1,2,1.6,4,3,18000,0,0
"496",3.14,60,2.8,2,2.2,2,3,18000,0,0
"497",0.29,47,13.6,2,2.5,2,3,18000,0,0
"498",0.29,47,14.5,2,2.5,2,3,18000,0,0
"500",2.46,71,77.1,3,-0.4,4,3,18000,1,1
"501",4.91,66,101,3,1.5,4,3,18000,1,1
"502",0.14,34,7.02,2,-0.6,2,3,18000,0,0
"504",0.14,34,8.61,2,-0.6,2,3,18000,0,0
"505",2.46,68,59.4,4,-0.4,4,3,18000,1,1
"506",4.8,71,124,3,1.5,4,3,18000,1,1
"507",0.14,46,12.7,2,-0.6,4,3,18000,0,0
"509",2.46,71,91,4,-0.4,4,3,18000,1,1
"510",0.29,47,14.5,2,2.5,3,3,18000,0,0
"511",2.9,66,120,4,-0.5,1,3,18000,1,1
"512",3.26,66,305,3,1.5,4,3,18000,1,1
"513",4.22,63,1200,3,2.2,4,3,18000,1,1
"514",3.26,66,375,4,1.5,4,3,18000,1,1
"517",2.46,71,114,4,-0.4,4,3,18000,1,1
"519",0,39,13.1,2,1.6,1,3,18000,0,0
"520",6.4,63,165,4,2.2,4,3,18000,1,1
"521",4.22,63,85.1,3,2.2,2,3,18000,1,1
"525",3.57,71,590,3,1.9,4,3,18000,1,1
"526",4.91,66,82.7,3,1.5,4,3,18000,1,1
"527",3.62,66,117,4,1.9,4,3,18000,1,1
"528",6.08,59,111,4,2.2,4,3,18000,1,1
"530",1.29,40,83.9,4,2.5,1,3,18000,1,1
"532",6.4,63,907,4,2.2,1,3,18000,1,1
"533",6.4,63,1010,3,2.2,1,3,18000,1,1
"534",0.14,34,13.6,2,-0.6,4,3,18000,1,0
"536",6.4,63,1270,3,2.2,4,3,18000,1,1
"537",0,39,9.88,2,1.6,2,3,18000,0,0
"538",6.4,63,140,4,2.2,4,3,18000,1,1
"539",4.22,63,1230,4,2.2,4,3,18000,1,1
"541",5.73,66,355,3,1.5,4,3,18000,1,1
"542",5.73,66,74.9,4,1.5,1,3,18000,1,1
"543",4.91,66,102,4,1.5,4,3,18000,1,1
"545",2.6,70,0.3,1,-0.4,1,2,1700,1,1
"546",1.47,22,19.7,3,-0.3,1,2,1700,0,0
"547",0.29,22,15.5,4,2.6,1,2,1700,0,0
"548",0.2,65,0.71,1,-0.1,1,2,1700,1,0
"549",1.68,28,15.5,4,2.5,1,2,1700,0,0
"550",0.08,41,8.05,2,0.1,1,2,1700,0,0
"551",0.14,32,6.1,2,-0.6,2,3,1700,1,0
"552",0.4,42,1.24,1,0.3,1,2,1700,0,0
"553",4.57,54,8.05,2,-0.6,1,2,1700,1,0
"555",1.78,52,15.5,4,2.4,1,2,1700,0,0
"556",0.09,30,9.21,2,-0.7,1,2,1700,0,0
"559",0.5,28,9.88,2,1.6,1,2,1700,0,0
"560",0.2,52,1.76,1,0.2,1,2,1700,0,0
"562",4.22,63,496,3,2.2,2,3,3000,1,1
"568",6.4,63,844,4,2.2,1,3,6600,1,1
"570",0.55,65,0.52,1,1.2,2,3,8900,1,1
"571",4.79,71,2.31,2,1.5,2,3,8900,1,1
"572",4.8,71,0.65,1,1.5,4,3,8900,1,1
"573",0.42,37,11.6,2,2.1,2,3,8900,0,0
"574",0.14,46,7.02,2,-0.6,3,3,8900,1,0
"575",1.84,67,0.65,1,-0.4,4,3,8900,1,1
"576",4.91,66,0.65,1,1.5,4,3,8900,1,1
"578",0.55,65,0.57,1,1.2,2,3,8900,1,1
"580",2.46,70,0.38,1,-0.4,4,3,8900,1,1
"581",0.55,65,0.61,1,1.2,2,3,8900,1,1
"582",1.84,67,0.65,1,-0.4,4,3,8900,1,1
"584",0.29,47,13.6,2,2.5,2,3,8900,0,0
"585",0.55,65,0.66,1,1.2,1,3,8900,1,1
"586",0.14,32,5.68,2,-0.6,2,3,8900,0,0
"587",0.42,38,8.32,2,1.6,2,3,8900,1,0
"588",0.55,65,0.61,1,1.2,2,3,8900,1,1
"589",0.55,65,0.61,1,1.2,2,3,8900,1,1
"590",0.55,65,0.52,1,1.2,2,3,8900,1,1
"591",4.22,63,225,3,2.2,2,3,8900,1,1
"592",6.4,63,476,4,2.2,2,3,8900,1,1
"594",4.22,63,594,3,2.2,2,3,119000,1,1
"595",6.4,63,639,4,2.2,2,3,119000,1,1
"596",1.12,40,13.4,2,0.8,1,1,13200,1,1
"597",0,47,0.36,1,0.3,1,1,13200,0,0
"598",2.8,69,1.11,1,-0.4,1,1,13200,1,1
"599",0.14,34,12,2,-0.6,1,3,13200,0,0
"600",0.11,32,5.99,2,-0.7,2,1,13200,0,0
"601",2.56,55,3.04,2,-0.8,1,2,13200,0,0
"602",0.01,49,2.12,1,1.4,2,1,13200,0,0
"603",0.49,34,11,2,0.5,1,2,13200,0,0
"604",2.93,67,2.6,2,-0.3,1,2,13200,1,1
"605",2.74,47,14.3,2,-1.6,1,1,13200,1,0
"606",2.5,64,61.8,4,-0.4,1,1,13200,1,1
"607",1.58,45,14.3,2,-1.6,2,1,13200,1,1
"608",1.32,45,13.6,2,2.5,2,1,13200,1,1
"609",0.59,24,15.7,4,-1.4,1,2,13200,0,0
"610",0.66,50,9.77,2,-1.6,2,1,13200,0,0
"611",2.35,50,0.31,1,-1,2,1,13200,0,0
"612",1.58,43,18.2,4,-1.6,1,2,13200,0,0
"613",0,32,10.9,2,-1.6,2,1,13200,0,0
"615",3.11,62,9.3,2,0.2,2,1,13200,1,1
"616",0.42,42,9.47,2,2.1,2,1,13200,0,0
"617",0.17,49,6.31,2,1,1,1,13200,0,0
"618",0.14,34,12.7,2,-0.6,4,3,13200,0,0
"619",1.67,46,8.69,2,2.4,2,1,13200,0,0
"620",1,37,11.8,2,0.5,2,3,13200,0,0
"621",0.62,43,10.5,2,0.8,1,1,13200,0,0
"622",3,72,9.7,2,0.5,1,1,13200,1,1
"624",0,29,3.31,2,0.6,2,1,13200,0,0
